"gameid","url","league","split","date","week","game","patchno","playerid","side","position","player","team","champion","ban1","ban2","ban3","ban4","ban5","gamelength","result","k","d","a","teamkills","teamdeaths","doubles","triples","quadras","pentas","fb","fbassist","fbvictim","fbtime","kpm","okpm","ckpm","fd","fdtime","teamdragkills","oppdragkills","elementals","oppelementals","firedrakes","waterdrakes","earthdrakes","airdrakes","elders","oppelders","herald","heraldtime","ft","fttime","firstmidouter","firsttothreetowers","teamtowerkills","opptowerkills","fbaron","fbarontime","teambaronkills","oppbaronkills","dmgtochamps","dmgtochampsperminute","dmgshare","earnedgoldshare","wards","wpm","wardshare","wardkills","wcpm","visionwards","visionwardbuys","visiblewardclearrate","invisiblewardclearrate","totalgold","earnedgpm","goldspent","gspd","minionkills","monsterkills","monsterkillsownjungle","monsterkillsenemyjungle","cspm","goldat10","oppgoldat10","gdat10","goldat15","oppgoldat15","gdat15","xpat10","oppxpat10","xpdat10"
"1002360213","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview","WC","2017-W","43001.001840278","1.1","1","7.18","100","Blue","Team","Team","Team WE"," ","Rek'Sai","Alistar","Tristana","Karma","Shen","47.166666666667","1","11","15","33","11","15"," "," "," "," ","0","0","1","9.9846166666667","0.23321554770318","0.31802120141343","0.55123674911661","1","9.8574333333333","3","2","2","2","1","1","0","0","1","0","1","15.25565","1","13.24485","1","1","10","4","1","30.364183333333","2","0","105176","2229.8798586572"," "," ","160","3.3922261484099","1","93","1.9717314487633","40","46","0.74193548387097","0.41964285714286","88827","1244.2049469965","77508","0.044486062660327","1139","201","129","20","28.409893992933","15120","14976","144","23978","23297","681","19100","18934","166"
"1002360213","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview","WC","2017-W","43001.001840278","1.1","1","7.18","200","Red","Team","Team","Lyon Gaming"," ","Kalista","Sejuani","Jarvan IV","LeBlanc","Galio","47.166666666667","0","15","11","54","15","11"," "," "," "," ","1","1","0","9.9846166666667","0.31802120141343","0.23321554770318","0.55123674911661","0","9.8574333333333","2","3","2","2","1","0","0","1","0","1","0","15.25565","0","13.24485","0","0","4","10","0","30.364183333333","0","2","115179","2441.9575971731"," "," ","174","3.6890459363958","1","61","1.2932862190813","51","54","0.57142857142857","0.2972972972973","76419","981.13780918728","74135","-0.044486062660327","1165","207","133","5","29.088339222615","14976","15120","-144","23297","23978","-681","18934","19100","-166"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","1","Blue","Top","Impact","Cloud9","Galio","Tristana","Sejuani","Kalista","Trundle","Dr. Mundo","30.25","1","2","0","6","13","3","0","0","0","0","0","1","0","11.917666666667","0.066115702479339","0.033057851239669","0.52892561983471","0","11.57375","3","0","1","0","0","1","0","0","0","0","","","1","15.2525","1","1","10","0","1","26.847483333333","1","0","9492","313.78512396694","0.18547756760982","0.18272309479319","13","0.4297520661157","0.1340206185567","3","0.099173553719008","1","3"," "," ","11194","239.2132231405","10625","0.13032581453634","208","1","0","0","6.9090909090909","3000","3187","-187","4852","4534","318","4534","4695","-161"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","2","Blue","Jungle","Contractz","Cloud9","Rek'Sai","Tristana","Sejuani","Kalista","Trundle","Dr. Mundo","30.25","1","2","2","5","13","3","0","0","0","0","0","0","0","11.917666666667","0.066115702479339","0.033057851239669","0.52892561983471","1","11.57375","3","0","1","0","0","0","1","0","0","0","","","1","15.2525","1","1","10","0","1","26.847483333333","1","0","8130","268.76033057851","0.15886352977958","0.18181404979546","23","0.7603305785124","0.23711340206186","8","0.26446280991736","6","7"," "," ","11158","238.02314049587","9800","0.22727272727273","18","141","76","14","5.2561983471074","3079","2795","284","5007","4410","597","3586","3229","357"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","3","Blue","Middle","Jensen","Cloud9","LeBlanc","Tristana","Sejuani","Kalista","Trundle","Dr. Mundo","30.25","1","5","1","7","13","3","0","0","0","0","1","0","0","11.917666666667","0.16528925619835","0","0.52892561983471","0","11.57375","3","0","0","0","0","0","0","0","0","0","","","1","15.2525","1","1","10","0","1","26.847483333333","1","0","19550","646.28099173554","0.38201500703455","0.24009393464977","9","0.29752066115702","0.092783505154639","9","0.29752066115702","1","1"," "," ","13466","314.32066115702","11475","0.25552825552826","248","3","3","0","8.297520661157","3183","2408","775","5215","4134","1081","4483","3561","922"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","4","Blue","ADC","Sneaky","Cloud9","Xayah","Tristana","Sejuani","Kalista","Trundle","Dr. Mundo","30.25","1","3","0","5","13","3","0","0","0","0","0","0","0","11.917666666667","0.099173553719008","0.033057851239669","0.52892561983471","0","11.57375","3","0","1","0","0","0","1","0","0","0","","","1","15.2525","1","1","10","0","1","26.847483333333","1","0","11668","385.71900826446","0.22799749882758","0.25208827836978","13","0.4297520661157","0.1340206185567","12","0.39669421487603","4","4"," "," ","13941","330.02314049587","11425","0.074914869466515","282","13","7","2","9.7520661157025","3214","3122","92","4954","4977","-23","3190","2904","286"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","5","Blue","Support","Smoothie","Cloud9","Rakan","Tristana","Sejuani","Kalista","Trundle","Dr. Mundo","30.25","1","1","0","10","13","3","0","0","0","0","0","0","0","11.917666666667","0.033057851239669","0","0.52892561983471","0","11.57375","3","0","0","0","0","0","0","0","0","0","","","1","15.2525","1","1","10","0","1","26.847483333333","1","0","2336","77.223140495868","0.045646396748476","0.1432806423918","39","1.2892561983471","0.4020618556701","12","0.39669421487603","10","10"," "," ","9632","187.57685950413","8300","0.065318818040435","13","0","0","0","0.4297520661157","1997","2728","-731","3134","4120","-986","2452","2669","-217"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","6","Red","Top","VVvert","Team oNe Esports","Gnar","Elise","Thresh","Syndra","Orianna","Jarvan IV","30.25","0","1","3","0","3","13","0","0","0","0","0","0","0","11.917666666667","0.033057851239669","0.066115702479339","0.52892561983471","0","11.57375","0","3","0","1","0","0","0","0","0","0","","","0","15.2525","0","0","0","10","0","26.847483333333","0","1","9711","321.02479338843","0.29044414535666","0.21524022346369","14","0.46280991735537","0.12962962962963","4","0.13223140495868","3","3"," "," ","9737","191.0479338843","9325","-0.13032581453634","257","1","1","0","8.5289256198347","3187","3000","187","4534","4852","-318","4695","4534","161"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","7","Red","Jungle","4LaN","Team oNe Esports","Nidalee","Elise","Thresh","Syndra","Orianna","Jarvan IV","30.25","0","1","2","1","3","13","0","0","0","0","0","0","0","11.917666666667","0.033057851239669","0.066115702479339","0.52892561983471","0","11.57375","0","3","0","1","0","0","0","0","0","0","","","0","15.2525","0","0","0","10","0","26.847483333333","0","1","5508","182.0826446281","0.16473755047106","0.17416014897579","28","0.92561983471074","0.25925925925926","10","0.33057851239669","10","13"," "," ","8634","154.58512396694","7800","-0.22727272727273","24","109","81","3","4.396694214876","2795","3079","-284","4410","5007","-597","3229","3586","-357"
"1002360222","http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview","WC","2017-W","43001.060671296","1.1","2","7.18","8","Red","Middle","Brucer","Team oNe Esports","Lucian","Elise","Thresh","Syndra","Orianna","Jarvan IV","30.25","0","0","3","3","3","13","0","0","0","0","0","0","1","11.917666666667","0","0.16528925619835","0.52892561983471","0","11.57375","0","3","0","0","0","0","0","0","0","0","","","0","15.2525","0","0","0","10","0","26.847483333333","0","1","7396","244.4958677686","0.22120532376252","0.20309869646182","16","0.52892561983471","0.14814814814815","9","0.29752066115702","5","5"," "," ","9411","180.27107438017","8875","-0.25552825552826","199","19","8","0","7.2066115702479","2408","3183","-775","4134","5215","-1081","3561","4483","-922"
